run,dataset,lr,l2_coef,hid_units,n_heads,residual,nonlinearity,param_attn_drop,param_ffd_drop,training_epochs,elapsed_time,min_validation_loss,max_val_accuracy,test_loss,test_accuracy,nhood
51,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.6,0.6,877,107.25637483596802,0.7058741450309753,0.8199999332427979,1.0613504648208618,0.8219999074935913,1
52,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.0,0.0,186,23.9029381275177,0.7766186594963074,0.7920000553131104,1.7477822303771973,0.7879999279975891,1
53,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.0,0.0,172,21.302598237991333,0.8817383646965027,0.796000063419342,1.7680712938308716,0.7919999361038208,1
54,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.0,0.0,187,24.29185438156128,0.7293528318405151,0.7940000295639038,1.397721529006958,0.7799999713897705,1
55,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.0,0.0,184,23.676236391067505,0.7542519569396973,0.8079999685287476,1.184389591217041,0.8059999942779541,1
56,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.0,0.0,184,27.487207651138306,0.7346141934394836,0.793999969959259,1.0724524259567259,0.7979999780654907,1
57,cora,0.005,0.0,[8],"[8, 1]",False,elu,0.0,0.0,171,22.38584065437317,0.8814118504524231,0.8060000538825989,1.6543200016021729,0.8000000715255737,1
58,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.0,0.0,239,28.03362774848938,0.8893523812294006,0.7980000376701355,1.7929437160491943,0.7989999651908875,1
59,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.0,0.0,218,28.701617002487183,0.8231484293937683,0.8039999604225159,1.0696185827255251,0.8009999394416809,1
60,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.0,0.0,207,25.705156803131104,0.954021155834198,0.796000063419342,1.7401189804077148,0.7879999279975891,1
61,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.0,0.0,244,31.753357648849487,0.8423342704772949,0.7879999279975891,1.2200819253921509,0.8019999861717224,1
62,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.0,0.0,287,34.57206654548645,0.8024803400039673,0.7959999442100525,1.4077212810516355,0.7919999361038208,1
63,cora,0.005,0.0005,[8],"[8, 1]",False,elu,0.0,0.0,282,34.954516649246216,0.8042212128639221,0.8020000457763672,1.2984861135482788,0.8009999394416809,1
