run,dataset,lr,l2_coef,hid_units,n_heads,residual,nonlinearity,param_attn_drop,param_ffd_drop,nhood,training_epochs,elapsed_time,min_validation_loss,max_val_accuracy,test_loss,test_accuracy
0,ppi,0.005,0,"[256, 256, 121]","[4, 4, 6]",True,elu,0.0,0.0,1,251,1574.1964845657349,0.1291361227631569,0.960727334022522,0.06996030360460281,0.9712968468666076
1,ppi,0.005,0,"[256, 256, 121]","[4, 4, 6]",True,elu,0.0,0.0,1,259,1639.0012147426605,0.12143135443329812,0.9627520442008972,0.06465540360659361,0.9745202958583832
2,ppi,0.005,0,"[256, 256, 121]","[4, 4, 6]",True,elu,0.0,0.0,1,560,3406.370064973831,0.1302492469549179,0.9669255018234252,0.07799869030714035,0.972497284412384
3,ppi,0.005,0,"[256, 256, 121]","[4, 4, 6]",True,elu,0.0,0.0,1,387,2386.816411972046,0.11924485117197037,0.9686827957630157,0.06387758441269398,0.975525438785553
